rate,width,wiring,seed,auc_foods,auc_success,episodes_to_30pct_success,episodes_to_90pct_foods_plateau,primary_censored
1e-4,wide,wt,42,18.816667,0.800667,143.000000,228.000000,0
1e-4,wide,wt,43,19.469667,0.860333,153.000000,227.000000,0
1e-4,wide,wt,44,16.796667,0.513667,373.000000,322.000000,0
1e-4,wide,wt,45,17.390667,0.558333,456.000000,536.000000,0
1e-4,wide,wt,46,19.225000,0.790667,233.000000,294.000000,0
1e-4,wide,wt,47,17.867667,0.669333,236.000000,209.000000,0
1e-4,wide,wt,48,17.497333,0.647333,239.000000,331.000000,0
1e-4,wide,wt,49,19.017667,0.721667,338.000000,416.000000,0
1e-4,wide,wt,50,18.637667,0.635000,396.000000,385.000000,0
1e-4,wide,wt,51,19.112333,0.742000,255.000000,307.000000,0
1e-4,wide,wt,52,17.004667,0.558000,296.000000,309.000000,0
1e-4,wide,wt,53,17.963333,0.647333,298.000000,326.000000,0
1e-4,wide,wt,54,18.636667,0.656000,313.000000,388.000000,0
1e-4,wide,wt,55,17.609000,0.644667,278.000000,256.000000,0
1e-4,wide,wt,56,18.721667,0.739000,343.000000,458.000000,0
1e-4,wide,wt,57,18.582667,0.630333,277.000000,302.000000,0
1e-4,wide,wt,58,18.778333,0.714000,415.000000,456.000000,0
1e-4,wide,wt,59,17.984000,0.671667,270.000000,255.000000,0
1e-4,wide,wt,60,19.117667,0.808333,232.000000,413.000000,0
1e-4,wide,wt,61,18.792333,0.779000,271.000000,460.000000,0
1e-4,wide,wt,62,18.747000,0.756667,294.000000,509.000000,0
1e-4,wide,wt,63,19.232667,0.853000,214.000000,280.000000,0
1e-4,wide,wt,64,17.494333,0.625667,253.000000,253.000000,0
1e-4,wide,wt,65,18.953000,0.790333,186.000000,229.000000,0
1e-4,wide,wt,66,17.496000,0.610000,328.000000,454.000000,0
1e-4,wide,wt,67,17.709000,0.488667,487.000000,519.000000,0
1e-4,wide,wt,68,19.100667,0.792000,160.000000,246.000000,0
1e-4,wide,wt,69,19.505333,0.875000,146.000000,222.000000,0
1e-4,wide,wt,70,17.888333,0.517000,511.000000,514.000000,0
1e-4,wide,wt,71,17.070333,0.538667,450.000000,426.000000,0
1e-4,wide,wt,72,18.134000,0.578333,436.000000,456.000000,0
1e-4,wide,wt,73,18.807667,0.730667,392.000000,469.000000,0
1e-4,wide,wt,74,18.264333,0.748333,441.000000,499.000000,0
1e-4,wide,wt,75,17.000667,0.516000,500.000000,369.000000,0
1e-4,wide,wt,76,18.397000,0.622000,222.000000,269.000000,0
1e-4,wide,wt,77,16.764667,0.540333,390.000000,565.000000,0
1e-4,wide,wt,78,19.108333,0.838000,203.000000,413.000000,0
1e-4,wide,wt,79,19.453667,0.898333,179.000000,246.000000,0
1e-4,wide,wt,80,18.575000,0.742000,345.000000,390.000000,0
1e-4,wide,wt,81,17.992000,0.711000,290.000000,667.000000,0
1e-4,wide,wt,82,16.978667,0.557667,543.000000,576.000000,0
1e-4,wide,wt,83,18.236667,0.547000,433.000000,408.000000,0
1e-4,wide,wt,84,19.302667,0.854000,162.000000,256.000000,0
1e-4,wide,wt,85,19.590000,0.913667,50.000000,200.000000,0
1e-4,wide,wt,86,16.985000,0.627667,218.000000,236.000000,0
1e-4,wide,wt,87,15.913000,0.496000,208.000000,211.000000,0
1e-4,wide,wt,88,18.680667,0.773000,182.000000,312.000000,0
1e-4,wide,wt,89,16.096333,0.523000,310.000000,329.000000,0
1e-4,wide,wt,90,17.794667,0.666333,238.000000,290.000000,0
1e-4,wide,wt,91,17.806333,0.519333,736.000000,744.000000,0
1e-4,wide,wt,92,18.531333,0.619333,435.000000,494.000000,0
1e-4,wide,wt,93,19.090667,0.845667,224.000000,289.000000,0
1e-4,wide,wt,94,18.841333,0.770333,238.000000,311.000000,0
1e-4,wide,wt,95,18.740667,0.776000,226.000000,352.000000,0
1e-4,wide,wt,96,18.561000,0.746333,218.000000,293.000000,0
1e-4,wide,rn,1,19.232333,0.843667,79.000000,178.000000,0
1e-4,wide,rn,2,19.768000,0.953000,62.000000,123.000000,0
1e-4,wide,rn,3,19.549333,0.906333,133.000000,237.000000,0
1e-4,wide,rn,4,19.039333,0.831333,139.000000,220.000000,0
1e-4,wide,rn,5,19.491333,0.920667,76.000000,208.000000,0
1e-4,wide,rn,6,19.189333,0.847667,129.000000,232.000000,0
1e-4,wide,rn,7,19.638333,0.929000,90.000000,203.000000,0
1e-4,wide,rn,8,18.819667,0.792667,278.000000,332.000000,0
1e-4,wide,rn,9,19.199667,0.859667,196.000000,262.000000,0
1e-4,wide,rn,10,18.681000,0.739667,236.000000,387.000000,0
1e-4,wide,rn,11,18.499333,0.661333,321.000000,410.000000,0
1e-4,wide,rn,12,19.595667,0.923667,80.000000,204.000000,0
1e-4,wide,rn,13,16.560333,0.569667,378.000000,501.000000,0
1e-4,wide,rn,14,17.314333,0.681667,75.000000,56.000000,0
1e-4,wide,rn,15,18.044000,0.730000,211.000000,303.000000,0
1e-4,wide,rn,16,19.225667,0.876000,123.000000,224.000000,0
1e-4,wide,rn,17,19.253000,0.868333,102.000000,216.000000,0
1e-4,wide,rn,18,19.507000,0.874333,203.000000,286.000000,0
1e-4,wide,rn,19,17.917333,0.642333,275.000000,443.000000,0
1e-4,wide,rn,20,18.866333,0.813000,189.000000,236.000000,0
1e-4,wide,rn,21,18.676000,0.679667,271.000000,288.000000,0
1e-4,wide,rn,22,18.739000,0.804000,85.000000,206.000000,0
1e-4,wide,rn,23,18.167333,0.721333,392.000000,491.000000,0
1e-4,wide,rn,24,19.379333,0.889667,156.000000,230.000000,0
1e-4,wide,rn,25,19.000333,0.854000,257.000000,340.000000,0
1e-4,wide,rn,26,18.555667,0.782000,60.000000,218.000000,0
1e-4,wide,rn,27,19.361333,0.899667,200.000000,267.000000,0
1e-4,wide,rn,28,18.235000,0.704667,212.000000,238.000000,0
1e-4,wide,rn,29,19.192333,0.812667,221.000000,296.000000,0
1e-4,wide,rn,30,18.070000,0.741000,142.000000,421.000000,0
1e-4,wide,rn,31,18.604000,0.801667,143.000000,265.000000,0
1e-4,wide,rn,32,19.516667,0.883000,172.000000,234.000000,0
1e-4,wide,rn,33,18.108667,0.683667,283.000000,419.000000,0
1e-4,wide,rn,34,17.648667,0.679333,215.000000,323.000000,0
1e-4,wide,rn,35,19.470667,0.885000,123.000000,233.000000,0
1e-4,wide,rn,36,19.085667,0.846000,53.000000,133.000000,0
1e-4,wide,rn,37,18.960000,0.815000,150.000000,235.000000,0
1e-4,wide,rn,38,19.231000,0.857333,146.000000,234.000000,0
1e-4,wide,rn,39,19.391667,0.871333,229.000000,260.000000,0
1e-4,wide,rn,40,18.939333,0.841000,143.000000,253.000000,0
1e-4,wide,rn,41,19.342333,0.865000,213.000000,267.000000,0
