arm,seed,window_end,success
wt_fullclone_ppo,1,250,73.60
wt_fullclone_ppo,1,500,68.40
wt_fullclone_ppo,1,750,48.00
wt_fullclone_ppo,1,1000,36.40
wt_fullclone_ppo,1,1250,51.20
wt_fullclone_ppo,1,1500,60.40
wt_fullclone_ppo,1,1750,22.40
wt_fullclone_ppo,1,2000,8.40
wt_fullclone_ppo,1,2250,7.60
wt_fullclone_ppo,1,2500,19.20
wt_fullclone_ppo,1,2750,35.60
wt_fullclone_ppo,1,3000,44.80
wt_fullclone_ppo,1,3250,36.00
wt_fullclone_ppo,1,3500,32.80
wt_fullclone_ppo,1,3750,35.20
wt_fullclone_ppo,1,4000,57.60
wt_fullclone_ppo,1,4250,66.40
wt_fullclone_ppo,1,4500,57.60
wt_fullclone_ppo,2,250,71.20
wt_fullclone_ppo,2,500,50.00
wt_fullclone_ppo,2,750,42.40
wt_fullclone_ppo,2,1000,48.40
wt_fullclone_ppo,2,1250,34.80
wt_fullclone_ppo,2,1500,25.20
wt_fullclone_ppo,2,1750,12.80
wt_fullclone_ppo,2,2000,6.40
wt_fullclone_ppo,2,2250,28.00
wt_fullclone_ppo,2,2500,52.80
wt_fullclone_ppo,2,2750,55.60
wt_fullclone_ppo,2,3000,40.80
wt_fullclone_ppo,2,3250,49.20
wt_fullclone_ppo,2,3500,50.40
wt_fullclone_ppo,2,3750,46.40
wt_fullclone_ppo,2,4000,47.20
wt_fullclone_ppo,2,4250,50.40
wt_fullclone_ppo,2,4500,62.00
wt_fullclone_ppo,3,250,56.40
wt_fullclone_ppo,3,500,47.60
wt_fullclone_ppo,3,750,24.80
wt_fullclone_ppo,3,1000,35.60
wt_fullclone_ppo,3,1250,45.60
wt_fullclone_ppo,3,1500,47.60
wt_fullclone_ppo,3,1750,44.80
wt_fullclone_ppo,3,2000,40.00
wt_fullclone_ppo,3,2250,38.40
wt_fullclone_ppo,3,2500,38.80
wt_fullclone_ppo,3,2750,7.60
wt_fullclone_ppo,3,3000,33.60
wt_fullclone_ppo,3,3250,74.40
wt_fullclone_ppo,3,3500,74.00
wt_fullclone_ppo,3,3750,64.40
wt_fullclone_ppo,3,4000,33.60
wt_fullclone_ppo,3,4250,14.40
wt_fullclone_ppo,3,4500,19.20
wt_fullclone_ppo,4,250,74.40
wt_fullclone_ppo,4,500,52.80
wt_fullclone_ppo,4,750,35.60
wt_fullclone_ppo,4,1000,48.40
wt_fullclone_ppo,4,1250,36.40
wt_fullclone_ppo,4,1500,41.60
wt_fullclone_ppo,4,1750,38.40
wt_fullclone_ppo,4,2000,29.20
wt_fullclone_ppo,4,2250,56.00
wt_fullclone_ppo,4,2500,29.60
wt_fullclone_ppo,4,2750,35.20
wt_fullclone_ppo,4,3000,38.80
wt_fullclone_ppo,5,250,55.20
wt_fullclone_ppo,5,500,46.80
wt_fullclone_ppo,5,750,32.00
wt_fullclone_ppo,5,1000,25.60
wt_fullclone_ppo,5,1250,41.60
wt_fullclone_ppo,5,1500,32.00
wt_fullclone_ppo,5,1750,39.60
wt_fullclone_ppo,5,2000,41.20
wt_fullclone_ppo,5,2250,47.20
wt_fullclone_ppo,5,2500,53.20
wt_fullclone_ppo,5,2750,53.20
wt_fullclone_ppo,5,3000,57.60
wt_fullclone_ppo,5,3250,54.00
wt_fullclone_ppo,5,3500,58.80
wt_fullclone_ppo,5,3750,59.20
wt_fullclone_ppo,5,4000,53.60
wt_fullclone_ppo,5,4250,56.00
wt_fullclone_ppo,5,4500,55.60
wt_fullclone_ppo,6,250,75.20
wt_fullclone_ppo,6,500,47.60
wt_fullclone_ppo,6,750,41.20
wt_fullclone_ppo,6,1000,37.60
wt_fullclone_ppo,6,1250,52.00
wt_fullclone_ppo,6,1500,51.20
wt_fullclone_ppo,6,1750,42.00
wt_fullclone_ppo,6,2000,27.60
wt_fullclone_ppo,6,2250,25.60
wt_fullclone_ppo,6,2500,16.40
wt_fullclone_ppo,6,2750,6.00
wt_fullclone_ppo,6,3000,2.00
wt_fullclone_ppo,6,3250,0.80
wt_fullclone_ppo,6,3500,7.60
wt_fullclone_ppo,6,3750,11.60
wt_fullclone_ppo,6,4000,9.60
wt_fullclone_ppo,6,4250,5.20
wt_fullclone_ppo,6,4500,3.60
wt_fullclone_ppo,7,250,52.00
wt_fullclone_ppo,7,500,67.20
wt_fullclone_ppo,7,750,25.20
wt_fullclone_ppo,7,1000,26.80
wt_fullclone_ppo,7,1250,54.40
wt_fullclone_ppo,7,1500,37.20
wt_fullclone_ppo,7,1750,32.40
wt_fullclone_ppo,7,2000,46.40
wt_fullclone_ppo,7,2250,36.40
wt_fullclone_ppo,7,2500,51.60
wt_fullclone_ppo,7,2750,42.40
wt_fullclone_ppo,7,3000,0.80
wt_fullclone_ppo,7,3250,0.80
wt_fullclone_ppo,7,3500,0.00
wt_fullclone_ppo,7,3750,0.00
wt_fullclone_ppo,7,4000,0.00
wt_fullclone_ppo,7,4250,0.00
wt_fullclone_ppo,7,4500,0.00
wt_fullclone_ppo,8,250,62.40
wt_fullclone_ppo,8,500,35.60
wt_fullclone_ppo,8,750,42.40
wt_fullclone_ppo,8,1000,51.20
wt_fullclone_ppo,8,1250,58.40
wt_fullclone_ppo,8,1500,58.00
wt_fullclone_ppo,8,1750,50.80
wt_fullclone_ppo,8,2000,51.60
wt_fullclone_ppo,8,2250,32.80
wt_fullclone_ppo,8,2500,41.60
wt_fullclone_ppo,8,2750,53.60
wt_fullclone_ppo,8,3000,15.20
wt_fullclone_ppo,8,3250,14.80
wt_fullclone_ppo,8,3500,15.60
wt_fullclone_ppo,8,3750,25.20
wt_fullclone_ppo,8,4000,33.20
wt_fullclone_ppo,8,4250,50.40
wt_fullclone_ppo,8,4500,42.40
rn_fullclone_ppo,1,250,79.60
rn_fullclone_ppo,1,500,55.20
rn_fullclone_ppo,1,750,35.60
rn_fullclone_ppo,1,1000,46.80
rn_fullclone_ppo,1,1250,46.40
rn_fullclone_ppo,1,1500,56.40
rn_fullclone_ppo,1,1750,49.60
rn_fullclone_ppo,1,2000,33.20
rn_fullclone_ppo,1,2250,7.20
rn_fullclone_ppo,1,2500,1.20
rn_fullclone_ppo,1,2750,6.80
rn_fullclone_ppo,1,3000,10.40
rn_fullclone_ppo,1,3250,7.60
rn_fullclone_ppo,1,3500,9.60
rn_fullclone_ppo,1,3750,12.00
rn_fullclone_ppo,1,4000,11.60
rn_fullclone_ppo,1,4250,10.80
rn_fullclone_ppo,1,4500,19.60
rn_fullclone_ppo,2,250,70.80
rn_fullclone_ppo,2,500,32.40
rn_fullclone_ppo,2,750,4.80
rn_fullclone_ppo,2,1000,15.20
rn_fullclone_ppo,2,1250,53.20
rn_fullclone_ppo,2,1500,42.40
rn_fullclone_ppo,2,1750,37.20
rn_fullclone_ppo,2,2000,38.00
rn_fullclone_ppo,2,2250,39.20
rn_fullclone_ppo,2,2500,58.00
rn_fullclone_ppo,2,2750,45.20
rn_fullclone_ppo,2,3000,18.80
rn_fullclone_ppo,2,3250,15.20
rn_fullclone_ppo,2,3500,14.00
rn_fullclone_ppo,2,3750,17.60
rn_fullclone_ppo,2,4000,33.20
rn_fullclone_ppo,2,4250,46.40
rn_fullclone_ppo,2,4500,42.40
rn_fullclone_ppo,3,250,59.20
rn_fullclone_ppo,3,500,20.40
rn_fullclone_ppo,3,750,45.20
rn_fullclone_ppo,3,1000,31.20
rn_fullclone_ppo,3,1250,34.40
rn_fullclone_ppo,3,1500,16.80
rn_fullclone_ppo,3,1750,15.60
rn_fullclone_ppo,3,2000,17.60
rn_fullclone_ppo,3,2250,4.80
rn_fullclone_ppo,3,2500,3.20
rn_fullclone_ppo,3,2750,6.80
rn_fullclone_ppo,3,3000,6.00
rn_fullclone_ppo,4,250,39.60
rn_fullclone_ppo,4,500,35.60
rn_fullclone_ppo,4,750,29.20
rn_fullclone_ppo,4,1000,47.60
rn_fullclone_ppo,4,1250,37.20
rn_fullclone_ppo,4,1500,29.60
rn_fullclone_ppo,4,1750,25.60
rn_fullclone_ppo,4,2000,30.40
rn_fullclone_ppo,4,2250,23.60
rn_fullclone_ppo,4,2500,23.20
rn_fullclone_ppo,4,2750,38.00
rn_fullclone_ppo,4,3000,32.00
rn_fullclone_ppo,5,250,74.40
rn_fullclone_ppo,5,500,43.20
rn_fullclone_ppo,5,750,59.60
rn_fullclone_ppo,5,1000,15.60
rn_fullclone_ppo,5,1250,2.80
