wiring,width,seed,auc_foods,auc_success,episodes_to_30pct_success,episodes_to_90pct_foods_plateau,primary_censored
rn,wide,10,8.568667,0.293000,8.000000,6.000000,0
rn,wide,11,3.050667,0.051333,16.000000,3000.000000,0
rn,wide,12,16.129333,0.665000,2.000000,2.000000,0
rn,wide,13,5.821000,0.176333,28.000000,1.000000,0
rn,wide,14,1.454333,0.021667,3.000000,1.000000,0
rn,wide,15,5.202667,0.155000,13.000000,3000.000000,0
rn,wide,16,15.034333,0.593333,5.000000,5.000000,0
rn,wide,17,15.438333,0.612000,66.000000,392.000000,0
rn,wide,18,12.174333,0.454667,26.000000,54.000000,0
rn,wide,19,0.367667,0.007667,3000.000000,3000.000000,1
rn,wide,20,13.599333,0.540000,3.000000,1467.000000,0
rn,wide,21,2.251667,0.052000,367.000000,2.000000,0
rn,wide,22,1.557333,0.040333,13.000000,1.000000,0
rn,wide,23,4.154333,0.105667,43.000000,18.000000,0
rn,wide,24,15.942333,0.619333,3.000000,5.000000,0
rn,wide,25,15.215667,0.630333,3.000000,3.000000,0
rn,wide,26,13.816000,0.482000,23.000000,28.000000,0
rn,wide,27,14.194000,0.578667,160.000000,235.000000,0
rn,wide,28,11.217333,0.368667,22.000000,3.000000,0
rn,wide,29,7.596000,0.262000,9.000000,6.000000,0
rn,wide,30,13.947333,0.587000,557.000000,600.000000,0
rn,wide,31,17.456333,0.729667,29.000000,76.000000,0
rn,wide,32,6.831667,0.225333,52.000000,1.000000,0
rn,wide,33,14.770667,0.557333,86.000000,40.000000,0
rn,wide,34,2.412667,0.063667,550.000000,2.000000,0
rn,wide,35,15.018333,0.556333,6.000000,7.000000,0
rn,wide,36,16.945333,0.713333,9.000000,10.000000,0
rn,wide,37,12.636667,0.470333,16.000000,13.000000,0
rn,wide,38,10.031000,0.315000,2.000000,1.000000,0
rn,wide,39,15.858333,0.647000,49.000000,235.000000,0
rn,wide,40,13.310333,0.463000,15.000000,248.000000,0
rn,wide,41,10.855667,0.398000,6.000000,235.000000,0
rn,wide,42,1.656333,0.030000,129.000000,1.000000,0
rn,wide,43,14.561333,0.544333,239.000000,331.000000,0
rn,wide,44,6.614333,0.129667,2194.000000,93.000000,0
rn,wide,45,15.677000,0.619333,20.000000,93.000000,0
rn,wide,46,6.204333,0.228667,13.000000,1.000000,0
rn,wide,47,10.133667,0.323000,10.000000,7.000000,0
rn,wide,48,12.192333,0.410333,252.000000,274.000000,0
rn,wide,49,13.179667,0.483333,93.000000,560.000000,0
rn,wide,50,6.498333,0.143333,235.000000,3.000000,0
rn,wide,51,13.499000,0.454000,29.000000,45.000000,0
rn,wide,52,12.734000,0.430000,13.000000,26.000000,0
rn,wide,53,8.187333,0.261333,785.000000,1.000000,0
rn,wide,54,10.565667,0.367333,16.000000,18.000000,0
rn,wide,55,0.007333,0.000000,3000.000000,3000.000000,1
rn,wide,56,6.500333,0.214333,12.000000,1.000000,0
rn,wide,57,15.921333,0.656667,86.000000,162.000000,0
rn,wide,58,17.621000,0.768333,136.000000,427.000000,0
rn,wide,59,13.728667,0.509667,229.000000,241.000000,0
rn,wide,60,13.450667,0.506000,15.000000,25.000000,0
rn,wide,61,14.879000,0.563667,70.000000,3.000000,0
rn,wide,62,14.520667,0.570000,8.000000,1.000000,0
rn,wide,63,15.568333,0.611667,45.000000,39.000000,0
rn,wide,64,15.250667,0.612667,36.000000,18.000000,0
rn,wide,65,2.048000,0.025667,42.000000,1.000000,0
rn,wide,66,7.688667,0.270333,1473.000000,1446.000000,0
rn,wide,67,2.852333,0.065000,2676.000000,65.000000,0
rn,wide,68,11.414333,0.401667,707.000000,788.000000,0
rn,wide,69,3.373333,0.126000,32.000000,3000.000000,0
rn,wide,70,0.095000,0.000000,3000.000000,2.000000,1
rn,wide,71,10.652000,0.336000,5.000000,2.000000,0
rn,wide,72,12.192333,0.447333,30.000000,2.000000,0
rn,wide,73,18.175333,0.787333,5.000000,11.000000,0
rn,wide,74,10.878333,0.371000,50.000000,3.000000,0
rn,wide,75,12.295000,0.472000,25.000000,2.000000,0
rn,wide,76,9.278333,0.310667,65.000000,88.000000,0
rn,wide,77,10.062000,0.334667,16.000000,7.000000,0
rn,wide,78,14.691333,0.556333,2.000000,2.000000,0
rn,wide,79,14.312000,0.562667,12.000000,11.000000,0
rn,wide,80,1.258667,0.023333,2661.000000,1.000000,0
rn,wide,81,9.611333,0.365333,16.000000,1.000000,0
rn,wide,82,1.472000,0.011667,3000.000000,2.000000,1
rn,wide,83,6.214000,0.184667,25.000000,1.000000,0
rn,wide,84,0.173333,0.000000,3000.000000,1.000000,1
rn,wide,85,11.047333,0.398667,32.000000,2.000000,0
rn,wide,86,4.192000,0.118667,82.000000,1.000000,0
rn,wide,87,9.189000,0.296333,140.000000,12.000000,0
rn,wide,88,14.852333,0.592333,237.000000,357.000000,0
rn,wide,89,2.499333,0.072000,173.000000,1.000000,0
rn,wide,90,16.561667,0.676667,19.000000,266.000000,0
rn,wide,91,5.375333,0.106667,5.000000,1.000000,0
rn,wide,92,9.566000,0.295333,52.000000,21.000000,0
rn,wide,93,15.677333,0.610000,2.000000,2.000000,0
rn,wide,94,12.757000,0.432000,10.000000,5.000000,0
rn,wide,95,1.143000,0.001000,3000.000000,3000.000000,1
rn,wide,96,11.901667,0.448333,33.000000,35.000000,0
