arm,seed,block,success
rn_global,3,7,6.8000
rn_global,3,8,4.8000
rn_global,3,9,5.6000
rn_global,3,10,5.6000
rn_global,3,11,10.0000
rn_global,4,0,1.2000
rn_global,4,1,3.2000
rn_global,4,2,0.4000
rn_global,4,3,3.6000
rn_global,4,4,2.8000
rn_global,4,5,2.4000
rn_global,4,6,2.0000
rn_global,4,7,1.2000
rn_global,4,8,3.6000
rn_global,4,9,2.4000
rn_global,4,10,2.0000
rn_global,4,11,2.0000
rn_global,5,0,7.2000
rn_global,5,1,7.6000
rn_global,5,2,4.8000
rn_global,5,3,5.2000
rn_global,5,4,4.8000
rn_global,5,5,3.2000
rn_global,5,6,2.0000
rn_global,5,7,2.0000
rn_global,5,8,1.2000
rn_global,5,9,4.0000
rn_global,5,10,0.8000
rn_global,5,11,1.2000
rn_global,6,0,24.0000
rn_global,6,1,51.2000
rn_global,6,2,52.4000
rn_global,6,3,50.8000
rn_global,6,4,51.6000
rn_global,6,5,53.6000
rn_global,6,6,48.4000
rn_global,6,7,54.0000
rn_global,6,8,48.0000
rn_global,6,9,42.8000
rn_global,6,10,50.8000
rn_global,6,11,47.2000
rn_global,7,0,9.2000
rn_global,7,1,0.0000
rn_global,7,2,0.4000
rn_global,7,3,0.0000
rn_global,7,4,0.0000
rn_global,7,5,0.0000
rn_global,7,6,0.4000
rn_global,7,7,0.0000
rn_global,7,8,0.0000
rn_global,7,9,0.4000
rn_global,7,10,0.4000
rn_global,7,11,0.0000
rn_global,8,0,14.4000
rn_global,8,1,20.8000
rn_global,8,2,14.8000
rn_global,8,3,10.0000
rn_global,8,4,10.8000
rn_global,8,5,11.6000
rn_global,8,6,14.0000
rn_global,8,7,12.8000
rn_global,8,8,8.8000
rn_global,8,9,12.4000
rn_global,8,10,10.0000
rn_global,8,11,11.6000
rn_global,9,0,1.2000
rn_global,9,1,1.2000
rn_global,9,2,0.0000
rn_global,9,3,0.0000
rn_global,9,4,0.4000
rn_global,9,5,0.0000
rn_global,9,6,0.0000
rn_global,9,7,0.4000
rn_global,9,8,0.4000
rn_global,9,9,0.4000
rn_global,9,10,0.0000
rn_global,9,11,0.0000
rn_global,10,0,30.0000
rn_global,10,1,36.8000
rn_global,10,2,19.6000
rn_global,10,3,20.4000
rn_global,10,4,24.8000
rn_global,10,5,32.4000
rn_global,10,6,33.6000
rn_global,10,7,35.6000
rn_global,10,8,39.2000
rn_global,10,9,36.0000
