half,level,pin,metric,is_primary_metric,seed,wiring_gap,interaction
reading,r1e4,plasticity_rate,episodes_to_30pct_success,False,192,-0.000000,363.000000
reading,r1e2,plasticity_rate,auc_success,True,177,-0.417333,-0.080667
reading,r1e2,plasticity_rate,auc_success,True,178,-0.149333,0.163333
reading,r1e2,plasticity_rate,auc_success,True,179,-0.273333,0.349000
reading,r1e2,plasticity_rate,auc_success,True,180,0.037667,0.111000
reading,r1e2,plasticity_rate,auc_success,True,181,0.074667,0.014667
reading,r1e2,plasticity_rate,auc_success,True,182,-0.225667,0.329333
reading,r1e2,plasticity_rate,auc_success,True,183,-0.542333,-0.066333
reading,r1e2,plasticity_rate,auc_success,True,184,0.217333,0.003667
reading,r1e2,plasticity_rate,auc_success,True,185,-0.333667,0.106000
reading,r1e2,plasticity_rate,auc_success,True,186,-0.461333,-0.129000
reading,r1e2,plasticity_rate,auc_success,True,187,-0.108333,0.082333
reading,r1e2,plasticity_rate,auc_success,True,188,0.010333,0.099667
reading,r1e2,plasticity_rate,auc_success,True,189,0.163333,0.114333
reading,r1e2,plasticity_rate,auc_success,True,190,-0.526667,-0.651000
reading,r1e2,plasticity_rate,auc_success,True,191,-0.068000,0.230000
reading,r1e2,plasticity_rate,auc_success,True,192,-0.033333,0.055667
reading,r1e2,plasticity_rate,episodes_to_30pct_success,False,177,-103.000000,21.000000
reading,r1e2,plasticity_rate,episodes_to_30pct_success,False,178,-2981.000000,-330.000000
reading,r1e2,plasticity_rate,episodes_to_30pct_success,False,179,-2988.000000,-289.000000
reading,r1e2,plasticity_rate,episodes_to_30pct_success,False,180,2233.000000,2144.000000
reading,r1e2,plasticity_rate,episodes_to_30pct_success,False,181,-0.000000,-1706.000000
reading,r1e2,plasticity_rate,episodes_to_30pct_success,False,182,-2900.000000,-557.000000
reading,r1e2,plasticity_rate,episodes_to_30pct_success,False,183,-1517.000000,-816.000000
reading,r1e2,plasticity_rate,episodes_to_30pct_success,False,184,19.000000,87.000000
reading,r1e2,plasticity_rate,episodes_to_30pct_success,False,185,-2921.000000,-140.000000
reading,r1e2,plasticity_rate,episodes_to_30pct_success,False,186,-192.000000,-68.000000
reading,r1e2,plasticity_rate,episodes_to_30pct_success,False,187,-2653.000000,-760.000000
reading,r1e2,plasticity_rate,episodes_to_30pct_success,False,188,1476.000000,2171.000000
reading,r1e2,plasticity_rate,episodes_to_30pct_success,False,189,-107.000000,-170.000000
reading,r1e2,plasticity_rate,episodes_to_30pct_success,False,190,-2907.000000,-4360.000000
reading,r1e2,plasticity_rate,episodes_to_30pct_success,False,191,-1175.000000,-1009.000000
reading,r1e2,plasticity_rate,episodes_to_30pct_success,False,192,-88.000000,275.000000
reading,td05,trace_decay,auc_success,True,177,-0.253333,0.083333
reading,td05,trace_decay,auc_success,True,178,-0.227667,0.085000
reading,td05,trace_decay,auc_success,True,179,-0.600333,0.022000
reading,td05,trace_decay,auc_success,True,180,-0.145667,-0.072333
reading,td05,trace_decay,auc_success,True,181,0.238000,0.178000
reading,td05,trace_decay,auc_success,True,182,-0.551667,0.003333
reading,td05,trace_decay,auc_success,True,183,-0.392333,0.083667
reading,td05,trace_decay,auc_success,True,184,0.057000,-0.156667
reading,td05,trace_decay,auc_success,True,185,-0.478000,-0.038333
reading,td05,trace_decay,auc_success,True,186,-0.266667,0.065667
reading,td05,trace_decay,auc_success,True,187,-0.120000,0.070667
reading,td05,trace_decay,auc_success,True,188,-0.035333,0.054000
reading,td05,trace_decay,auc_success,True,189,0.110000,0.061000
reading,td05,trace_decay,auc_success,True,190,-0.450000,-0.574333
reading,td05,trace_decay,auc_success,True,191,-0.224333,0.073667
reading,td05,trace_decay,auc_success,True,192,-0.007000,0.082000
reading,td05,trace_decay,episodes_to_30pct_success,False,177,-264.000000,-140.000000
reading,td05,trace_decay,episodes_to_30pct_success,False,178,-441.000000,2210.000000
reading,td05,trace_decay,episodes_to_30pct_success,False,179,-2751.000000,-52.000000
