condition,wiring,seed,auc_foods,auc_success,episodes_to_30pct_success,episodes_to_90pct_foods_plateau,primary_censored
nogap,wt,8,17.621000,0.657333,105.000000,220.000000,0
nogap,wt,9,15.450667,0.515000,356.000000,451.000000,0
nogap,wt,10,18.186667,0.689667,225.000000,260.000000,0
nogap,wt,11,17.053667,0.499000,271.000000,145.000000,0
nogap,wt,12,19.520000,0.901000,39.000000,176.000000,0
nogap,wt,13,18.866000,0.815000,83.000000,532.000000,0
nogap,wt,14,18.403667,0.659667,446.000000,478.000000,0
nogap,wt,15,18.466333,0.765333,108.000000,221.000000,0
nogap,wt,16,18.797333,0.770667,139.000000,224.000000,0
nogap,wt,17,18.841333,0.782333,119.000000,243.000000,0
nogap,wt,18,19.280000,0.870000,128.000000,207.000000,0
nogap,wt,19,16.750333,0.582667,226.000000,269.000000,0
nogap,wt,20,18.942667,0.797333,296.000000,354.000000,0
nogap,wt,21,15.370000,0.448333,276.000000,305.000000,0
nogap,wt,22,18.631667,0.744000,223.000000,233.000000,0
nogap,wt,23,18.338000,0.714667,241.000000,315.000000,0
nogap,wt,24,19.435000,0.894000,20.000000,217.000000,0
nogap,wt,25,17.964667,0.718333,123.000000,108.000000,0
nogap,wt,26,17.891333,0.730667,68.000000,631.000000,0
nogap,wt,27,18.180333,0.724333,106.000000,459.000000,0
nogap,wt,28,19.049333,0.818333,62.000000,209.000000,0
nogap,wt,29,19.557000,0.902667,98.000000,222.000000,0
nogap,wt,30,17.999333,0.643667,312.000000,365.000000,0
nogap,wt,31,19.436667,0.884333,205.000000,272.000000,0
