half,seed,full_wt_plateau,full_wt_floor,full_rn_plateau,full_rn_floor,full_gap_auc_success,full_gap_episodes_to_30pct_success,chemical_wt_plateau,chemical_wt_floor,chemical_rn_plateau,chemical_rn_floor,chemical_gap_auc_success,chemical_gap_episodes_to_30pct_success,gap_held_wt_plateau,gap_held_wt_floor,gap_held_rn_plateau,gap_held_rn_floor,gap_held_gap_auc_success,gap_held_gap_episodes_to_30pct_success,gap_junctions_auc_success,a6_move_auc_success,remainder_auc_success,gap_junctions_episodes_to_30pct_success,a6_move_episodes_to_30pct_success,remainder_episodes_to_30pct_success
reading,374,16.533333,0.000000,46.000000,0.000000,-0.274333,-2474.000000,16.533333,0.000000,45.600000,0.400000,-0.278333,-2470.000000,16.533333,0.000000,67.600000,0.000000,-0.457667,-2529.000000,-0.183333,-0.004000,0.179333,-55.000000,4.000000,59.000000
reading,375,48.266667,0.000000,4.000000,0.000000,0.379000,2401.000000,48.266667,0.000000,61.466667,0.000000,0.042333,750.000000,48.266667,0.000000,87.333333,0.000000,-0.385667,-268.000000,-0.764667,-0.336667,0.428000,-2669.000000,-1651.000000,1018.000000
reading,376,2.400000,0.000000,35.066667,0.000000,-0.239333,-1739.000000,2.400000,0.000000,71.733333,0.000000,-0.607333,-2675.000000,2.400000,0.000000,63.333333,0.000000,-0.506667,-2661.000000,-0.267333,-0.368000,-0.100667,-922.000000,-936.000000,-14.000000
reading,377,34.400000,0.000000,40.533333,0.000000,0.012333,-204.000000,34.400000,0.000000,53.866667,0.000000,-0.176667,-644.000000,34.400000,0.000000,56.666667,0.000000,-0.121667,-439.000000,-0.134000,-0.189000,-0.055000,-235.000000,-440.000000,-205.000000
reading,378,26.533333,0.000000,52.000000,0.000000,-0.246000,-1251.000000,26.533333,0.000000,84.133333,0.000000,-0.614333,-1460.000000,26.533333,0.000000,35.600000,0.000000,-0.128000,-860.000000,0.118000,-0.368333,-0.486333,391.000000,-209.000000,-600.000000
reading,379,65.600000,0.000000,67.466667,0.000000,0.070667,370.000000,65.600000,0.000000,18.533333,0.000000,0.418000,2629.000000,65.600000,0.000000,33.333333,0.000000,0.229667,131.000000,0.159000,0.347333,0.188333,-239.000000,2259.000000,2498.000000
reading,380,48.533333,0.000000,21.200000,0.000000,0.154333,2338.000000,48.533333,0.000000,6.533333,0.000000,0.279333,2338.000000,48.533333,0.000000,9.466667,0.000000,0.253667,2338.000000,0.099333,0.125000,0.025667,0.000000,0.000000,0.000000
reading,381,72.533333,0.000000,93.466667,0.000000,-0.234000,-85.000000,72.533333,0.000000,91.333333,0.000000,-0.163667,22.000000,72.533333,0.000000,95.600000,0.000000,-0.294667,-231.000000,-0.060667,0.070333,0.131000,-146.000000,107.000000,253.000000
reading,382,46.933333,0.000000,66.800000,0.000000,-0.189333,-309.000000,46.933333,0.000000,50.533333,0.000000,-0.053333,-106.000000,46.933333,0.000000,92.533333,0.000000,-0.459000,-531.000000,-0.269667,0.136000,0.405667,-222.000000,203.000000,425.000000
reading,383,36.133333,0.000000,45.466667,0.000000,-0.055000,78.000000,36.133333,0.000000,30.400000,0.133333,0.061333,834.000000,36.133333,0.000000,62.133333,0.000000,-0.086000,598.000000,-0.031000,0.116333,0.147333,520.000000,756.000000,236.000000
reading,384,45.466667,0.000000,44.933333,0.000000,0.033667,931.000000,45.466667,0.000000,87.333333,0.000000,-0.532333,45.000000,45.466667,0.000000,51.466667,0.000000,-0.123000,544.000000,-0.156667,-0.566000,-0.409333,-387.000000,-886.000000,-499.000000
